,index,SN,isDyn,isHqe,gain,resolution,dcr,pde,tts,amplitude,HV,PvsV,SvsN,risetime,falltime,fwhm,tts_ss
6852,6852,EA3552,1,0,10209200.0,0.27,11.8,27.88,5.75,6.93,1818.0,4.17,0.077,7.62,9.33,10.96,1.3328276373423882
6853,6853,PA1807-1004,0,1,11015800.0,0.33,33.0,30.45,9.03,7.79,1825.0,3.45,0.067,4.62,17.75,7.79,4.947583539645649
6854,6854,PA1807-1078,0,1,10730600.0,0.39,48.6,31.14,9.37,7.51,1744.0,3.69,0.073,4.45,17.96,8.36,4.948093029045008
6855,6855,PA1807-1198,0,1,9842750.0,0.35,56.1,31.13,9.7,7.36,1778.0,3.65,0.075,4.54,17.99,7.78,5.154672056886176
6856,6856,EA3554,1,0,9682030.0,0.28,10.3,28.39,7.27,9876540000.0,1762.0,3.4,0.082,7.6,9.46,11.26,0.07738275099545718
6857,6857,PA1805-1138,0,1,10444800.0,0.31,28.4,31.31,11.9,8.18,1768.0,3.28,0.071,4.68,17.74,7.57,6.513960863660641
6858,6858,PA1802-2204,0,0,9927220.0,0.33,58.9,31.23,8.93,6.9,1769.0,4.01,0.078,6.98,18.15,7.83,5.24796777506992
6859,6859,EA3216,1,0,9961490.0,0.28,12.4,26.64,6.27,6.55,1828.0,3.96,0.074,6.72,10.22,11.47,0.8017462517990656
6860,6860,PA1712-1386,0,0,10057800.0,0.28,25.2,28.5,9.15,7.57,1801.0,6.11,0.073,6.9,18.02,7.43,5.578351581289446
6861,6861,PA1807-1059,0,1,10893700.0,0.3,36.0,31.98,10.98,7.48,1749.0,4.24,0.066,6.92,19.05,7.41,5.172644035080954
6862,6862,PA1803-1106,0,0,10160200.0,0.33,51.0,27.04,9.54,7.52,1763.0,2.89,0.07,6.95,17.91,7.67,5.111839595510133
6863,6863,EA3326,1,0,9837510.0,0.31,13.2,27.62,5.72,6.3,1828.0,3.57,0.085,7.16,9.89,11.15,0.8335992102964304
6864,6864,PA1807-1085,0,1,10920200.0,0.36,48.9,31.89,8.71,7.32,1769.0,3.75,0.07,4.65,18.45,7.92,5.094201072208115
6865,6865,PA1807-1029,0,1,10113400.0,0.31,23.0,29.16,10.51,7.36,1719.0,4.08,0.076,4.58,18.55,8.17,5.5929595562730166
6866,6866,EA3400,1,0,9841350.0,0.28,12.3,26.41,6.86,6.19,1789.0,3.67,0.081,7.31,10.21,11.93,1.227649870329158
6867,6867,PA1807-1021,0,1,10614800.0,0.32,44.8,26.87,9.2,7.51,1840.0,3.97,0.073,4.67,11.01,7.9,5.4529223917246235
6868,6868,PA1806-2885,0,1,10763600.0,0.31,14.8,29.39,9.9,7.36,1776.0,3.93,0.068,4.82,18.32,7.94,5.232399647486249
6869,6869,PA1707-1588,0,0,10505800.0,0.33,34.0,27.99,10.71,7.46,1767.0,3.53,0.073,4.47,18.58,7.83,5.284601541733308
6870,6870,EA3498,1,0,9819990.0,0.27,14.5,25.3,5.51,6.45,1877.0,3.16,0.087,7.65,9.99,11.69,1.7960630636928339
